Student_ID,Age,Gender,Education_Level,Graduation_Year,College_Name,Course_Branch,Certification_Name,Certification_Provider,Number_of_Certifications,Internship_Company,Internship_Domain,Internship_Duration_Months,Number_of_Internships,Experience_Profile,Practical_Skill_Score,Theoretical_Score,Employer_Preference_Score,Placement_Status,Salary_Package_LPA,PPO_Conversion_Status,Time_to_Offer_Days,Primary_Skills
STU10000,22,Female,B.Tech,2025,State Tech University (Tier 2),Electronics & Communication,IBM Data Science Professional,Microsoft Azure,1,Infosys Center,Cloud & DevOps,2,1,Both (Hybrid),52,62,6.7,Placed,12.18,Internship Conversion,70,"Git, System Design, React, Communication, SQL, Problem Solving"
STU10001,25,Female,B.Tech,2025,State Tech University (Tier 2),Computer Science & Engineering,Microsoft Certified: Azure Developer; TensorFlow Developer Certificate,Udemy; Coursera,2,None,None,0,0,Certification Only,43,72,5.1,Placed,7.45,On-Campus / Off-Campus Placement,107,"SQL, Kubernetes, Communication, System Design, Git"
STU10002,23,Female,M.Tech,2023,BITS & Top National Inst (Tier 1),Computer Science & Engineering,IBM Data Science Professional; AWS Certified Solutions Architect,Coursera; AWS,2,None,None,0,0,Certification Only,47,87,5.5,Placed,10.18,On-Campus / Off-Campus Placement,102,"Kubernetes, SQL, React, Communication, System Design, Machine Learning, Tableau"
STU10003,22,Female,B.Tech,2023,Apex Institute of Technology (Tier 2),Information Technology,None,None,0,None,None,0,0,Neither,42,39,4.3,Unplaced,0.0,Not Converted,-1,"Communication, Machine Learning"
STU10004,21,Male,M.Tech,2025,State Tech University (Tier 2),Data Science & Artificial Intelligence,None,None,0,DataMetrics Labs,Artificial Intelligence / ML,6,1,Internship Only,82,51,6.2,Placed,10.05,Internship Conversion,63,"Machine Learning, Data Analysis, Git, Power BI"
STU10005,21,Male,B.Tech,2026,City Engineering College (Tier 3),Cyber Security,Certified Information Systems Security Professional (CISSP),Google Cloud,1,None,None,0,0,Certification Only,30,49,3.9,Placed,7.47,On-Campus / Off-Campus Placement,108,"Tableau, Power BI, Java, Kubernetes, SQL"
STU10006,21,Female,B.Sc (CS/IT),2024,IIT / NIT Group (Tier 1),Information Technology,Certified Information Systems Security Professional (CISSP),Google Cloud,1,DataMetrics Labs,Artificial Intelligence / ML,3,1,Both (Hybrid),67,70,7.9,Placed,14.05,On-Campus / Off-Campus Placement,49,"SQL, Docker, Problem Solving, Git, Data Analysis, Power BI"
STU10007,24,Male,B.Sc (CS/IT),2024,Apex Institute of Technology (Tier 2),Cyber Security,Meta Front-End Developer Specialization; Coursera Machine Learning Specialization,Udemy; NPTEL,2,FinTech Solutions,Data Science & Analytics,11,2,Both (Hybrid),92,68,10.0,Placed,19.57,Direct PPO (Pre-Placement Offer),5,"Machine Learning, Communication, Power BI, AWS, Git, SQL, Java, Tableau, Docker, React"
STU10008,22,Female,B.Tech,2025,Apex Institute of Technology (Tier 2),Computer Science & Engineering,AWS Certified Solutions Architect; Google Professional Data Engineer,Meta; IBM,2,None,None,0,0,Certification Only,37,77,5.3,Placed,7.82,On-Campus / Off-Campus Placement,126,"Power BI, Java, Python, System Design, Data Analysis"
STU10009,23,Female,B.Tech,2026,Apex Institute of Technology (Tier 2),Electronics & Communication,Certified Information Systems Security Professional (CISSP),Microsoft Azure,1,InnovateTech Startup,Data Science & Analytics,3,1,Both (Hybrid),61,45,6.6,Placed,11.17,On-Campus / Off-Campus Placement,85,"Git, Kubernetes, Docker, Problem Solving, Data Analysis, Power BI, Communication"
STU10010,21,Male,B.Tech,2025,City Engineering College (Tier 3),Computer Science & Engineering,None,None,0,TCS Innovation Labs,Product & Business Analytics,3,3,Internship Only,93,37,8.7,Placed,14.02,On-Campus / Off-Campus Placement,32,"System Design, Data Analysis, SQL, Problem Solving, AWS, Power BI, Docker, Python, Git, Tableau"
STU10011,25,Female,B.Sc (CS/IT),2026,Apex Institute of Technology (Tier 2),Cyber Security,None,None,0,DataMetrics Labs,Product & Business Analytics,7,2,Internship Only,92,47,9.1,Placed,16.08,Internship Conversion,20,"Data Analysis, SQL, Python, Java, Machine Learning, Kubernetes, AWS"
STU10012,23,Male,BCA,2023,Regional Tech Institute (Tier 3),Computer Science & Engineering,Meta Front-End Developer Specialization; Coursera Machine Learning Specialization; Docker & Kubernetes Developer Cert,Coursera; Meta; IBM,5,DataMetrics Labs,Product & Business Analytics,3,2,Both (Hybrid),74,95,9.0,Placed,12.94,On-Campus / Off-Campus Placement,29,"System Design, Data Analysis, Git, Java, Problem Solving, Communication, Python, SQL, AWS, Power BI"
STU10013,21,Male,BCA,2023,State Tech University (Tier 2),Data Science & Artificial Intelligence,TensorFlow Developer Certificate,Microsoft Azure,1,Google India,Artificial Intelligence / ML,3,1,Both (Hybrid),57,65,6.9,Placed,12.11,On-Campus / Off-Campus Placement,63,"AWS, Communication, Data Analysis, Power BI, Python, React"
STU10014,21,Female,B.Tech,2025,State Tech University (Tier 2),Electronics & Communication,Docker & Kubernetes Developer Cert; Certified Information Systems Security Professional (CISSP); Meta Front-End Developer Specialization,IBM; Google Cloud; Udemy,3,Amazon AWS,Cloud & DevOps,6,1,Both (Hybrid),70,98,8.2,Placed,14.12,On-Campus / Off-Campus Placement,43,"Python, Data Analysis, Machine Learning, System Design, Tableau, React, AWS, Java, Kubernetes, Communication"
STU10015,21,Female,B.Tech,2025,IIT / NIT Group (Tier 1),Data Science & Artificial Intelligence,Certified Information Systems Security Professional (CISSP); Meta Front-End Developer Specialization; Google Professional Data Engineer,AWS; Meta; Coursera,3,Deloitte Consulting,Data Science & Analytics,6,1,Both (Hybrid),81,100,8.8,Placed,15.74,Direct PPO (Pre-Placement Offer),21,"Docker, Kubernetes, Data Analysis, Tableau, Power BI, System Design, React, AWS, Python, Git"
STU10016,22,Male,B.Tech,2024,IIT / NIT Group (Tier 1),Data Science & Artificial Intelligence,Coursera Machine Learning Specialization; NPTEL Cloud Computing & Distributed Systems,IBM; NPTEL,2,Microsoft Tech,Data Science & Analytics,7,2,Both (Hybrid),89,87,10.0,Placed,19.44,Direct PPO (Pre-Placement Offer),12,"Problem Solving, SQL, Kubernetes, Docker, AWS, Communication, Java, Git, System Design, Tableau"
STU10017,22,Male,B.Tech,2024,BITS & Top National Inst (Tier 1),Cyber Security,AWS Certified Solutions Architect; Certified Information Systems Security Professional (CISSP),NPTEL; AWS,2,Google India,Product & Business Analytics,2,1,Both (Hybrid),58,85,7.1,Placed,14.51,Internship Conversion,65,"Docker, System Design, SQL, Tableau, Communication, Power BI, Data Analysis, Git, Java"
STU10018,22,Female,BCA,2025,IIT / NIT Group (Tier 1),Data Science & Artificial Intelligence,None,None,0,Google India,Product & Business Analytics,2,2,Internship Only,77,75,8.4,Placed,15.99,On-Campus / Off-Campus Placement,53,"Data Analysis, Python, AWS, Kubernetes, SQL, Docker, React, System Design"
STU10019,22,Female,M.Tech,2023,State Tech University (Tier 2),Information Technology,TensorFlow Developer Certificate; NPTEL Cloud Computing & Distributed Systems,Coursera; Google Cloud,2,Google India,Artificial Intelligence / ML,9,3,Both (Hybrid),100,69,10.0,Placed,17.99,Direct PPO (Pre-Placement Offer),5,"Machine Learning, React, Git, Tableau, System Design, Python, Java, Power BI, Communication, Kubernetes"
STU10020,22,Female,BCA,2024,BITS & Top National Inst (Tier 1),Computer Science & Engineering,IBM Data Science Professional,NPTEL,1,Microsoft Tech,Software Engineering,6,1,Both (Hybrid),83,77,8.6,Placed,17.05,Direct PPO (Pre-Placement Offer),59,"Data Analysis, Tableau, Java, Power BI, AWS, Python, SQL"
STU10021,21,Male,B.Tech,2025,IIT / NIT Group (Tier 1),Electronics & Communication,Meta Front-End Developer Specialization; IBM Data Science Professional; Coursera Machine Learning Specialization,Google Cloud; NPTEL; Udemy,3,InnovateTech Startup,Data Science & Analytics,2,1,Both (Hybrid),68,87,7.4,Placed,13.9,On-Campus / Off-Campus Placement,62,"Tableau, Communication, React, Docker, Machine Learning, Java, Problem Solving, Kubernetes, SQL, AWS"
STU10022,22,Male,MBA (Tech & Analytics),2025,City Engineering College (Tier 3),Information Technology,None,None,0,Infosys Center,Cloud & DevOps,3,1,Internship Only,65,43,5.9,Placed,8.7,On-Campus / Off-Campus Placement,83,"Tableau, AWS, Kubernetes, Python, Docker, Data Analysis"
