Skill,Total_Students,Placed_Students,Placement_Rate,Avg_Salary_With_Skill,Skill_Placement_Rate_Pct
Tableau,1362,1283,0.9419970631424376,13.76,94.2
Communication,1339,1257,0.9387602688573562,13.6,93.88
Kubernetes,1330,1249,0.9390977443609022,13.72,93.91
Python,1320,1245,0.9431818181818182,13.67,94.32
AWS,1336,1243,0.9303892215568862,13.85,93.04
React,1301,1240,0.9531129900076863,13.8,95.31
Docker,1302,1237,0.9500768049155146,13.67,95.01
Data Analysis,1308,1236,0.944954128440367,13.83,94.5
SQL,1315,1236,0.9399239543726235,13.76,93.99
Power BI,1310,1235,0.9427480916030534,13.69,94.27
Git,1310,1234,0.9419847328244275,13.81,94.2
System Design,1295,1224,0.9451737451737452,13.8,94.52
Machine Learning,1300,1221,0.9392307692307692,13.81,93.92
Problem Solving,1275,1206,0.9458823529411765,13.76,94.59
Java,1280,1199,0.93671875,13.77,93.67
